subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,trial_start_ms,stimulus_onset_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,vibration_device,trial_interrupted,timestamp
franc,1,1,36,VT,1,slow,narrow,D6,232609.198,232609.198,234307.503,234655.606,235031.673,235796.896,233583.606,233890.059,306.5,None,0,2026-07-10T15:10:35.3317512+02:00
franc,1,1,37,T,1,fast,narrow,D2,237328.813,,,,,,238080.519,238372.939,292.4,None,0,2026-07-10T15:10:39.8427821+02:00
franc,1,1,38,V,0,slow,wide,,241838.947,241838.947,243538.114,243886.509,244262.154,245027.819,,,,None,0,2026-07-10T15:10:44.5625363+02:00
franc,1,1,39,VT,1,fast,wide,D2,246559.111,246559.111,247255.191,247380.544,247505.852,247756.465,247505.852,247728.843,223.0,None,0,2026-07-10T15:10:49.0733478+02:00
franc,1,1,40,V,1,fast,narrow,,251069.167,251069.167,251765.416,251877.192,252016.655,252266.672,,252211.086,,None,0,2026-07-10T15:10:53.5843004+02:00
franc,1,1,41,V,0,slow,narrow,,255580.047,255580.047,257278.937,257626.737,258002.580,258768.507,,,,None,0,2026-07-10T15:10:58.3034955+02:00
franc,1,1,42,T,1,fast,narrow,D1,260299.896,,,,,,261302.082,261692.094,390.0,None,0,2026-07-10T15:11:02.8138672+02:00
franc,1,1,43,V,0,fast,narrow,,264810.759,264810.759,265506.618,265631.986,265757.249,266007.714,,,,None,0,2026-07-10T15:11:07.3250994+02:00
franc,1,1,44,T,1,fast,narrow,D6,269321.615,,,,,,269585.578,274482.965,4897.4,None,0,2026-07-10T15:11:13.9956060+02:00
franc,1,1,45,VT,1,slow,wide,D4,275988.384,275988.384,277687.974,278036.344,278412.163,279177.745,277687.974,278189.413,501.4,None,0,2026-07-10T15:11:18.7134475+02:00
franc,1,1,46,VT,1,fast,narrow,D3,280709.949,280709.949,281406.212,281531.491,281656.675,281907.714,281531.491,281837.876,306.4,None,0,2026-07-10T15:11:23.2242617+02:00
franc,1,1,47,V,0,fast,wide,,285221.083,285221.083,285917.551,286029.176,286167.605,286418.118,,,,None,0,2026-07-10T15:11:27.7355160+02:00
franc,1,1,48,VT,1,fast,narrow,D4,289731.205,289731.205,290427.507,290552.708,290677.744,290928.543,290427.507,290733.786,306.3,None,0,2026-07-10T15:11:32.2455104+02:00
franc,1,1,49,V,0,slow,narrow,,294242.114,294242.114,295940.795,296288.873,296664.525,297431.014,,,,None,0,2026-07-10T15:11:36.9661840+02:00
franc,1,1,50,VT,1,fast,wide,D1,298962.154,298962.154,299658.218,299783.762,299909.095,300159.543,300159.543,300521.702,362.2,None,0,2026-07-10T15:11:41.4762792+02:00
franc,1,1,51,VT,1,slow,wide,D7,303472.627,303472.627,305171.468,305519.259,305895.821,306661.231,303681.190,304043.242,362.1,None,0,2026-07-10T15:11:46.1969086+02:00
franc,1,1,52,VT,1,slow,narrow,D2,308192.096,308192.096,309890.537,310238.546,310614.445,311394.075,310614.445,310948.593,334.1,None,0,2026-07-10T15:11:50.9154672+02:00
franc,1,1,53,V,0,fast,wide,,312911.376,312911.376,313607.544,313719.409,313858.816,314108.868,,,,None,0,2026-07-10T15:11:55.4251974+02:00
franc,1,1,54,T,1,slow,wide,D2,317421.838,,,,,,319649.651,320081.665,432.0,None,0,2026-07-10T15:11:59.9379626+02:00
franc,1,1,55,VT,1,slow,wide,D6,321933.379,321933.379,323631.503,323979.499,324355.180,325121.293,322907.747,323283.585,375.8,None,0,2026-07-10T15:12:04.6561214+02:00
franc,1,1,56,T,1,fast,narrow,D4,326653.113,,,,,,327154.392,327488.593,334.2,None,0,2026-07-10T15:12:09.1678763+02:00
franc,1,1,57,T,1,fast,wide,D3,331164.384,,,,,,331790.913,332097.420,306.5,None,0,2026-07-10T15:12:13.6782265+02:00
franc,1,1,58,V,0,slow,wide,,335674.747,335674.747,337373.519,337721.564,338097.611,338863.307,,,,None,0,2026-07-10T15:12:18.3985979+02:00
franc,1,1,59,V,0,slow,wide,,340394.495,340394.495,342092.917,342440.693,342817.248,343582.851,,,,None,0,2026-07-10T15:12:23.1182360+02:00
franc,1,1,60,T,1,fast,narrow,D7,345113.979,,,,,,345113.979,351628.477,6514.5,None,0,2026-07-10T15:12:31.1373985+02:00
franc,1,1,61,VT,1,fast,narrow,D7,353132.006,353132.006,353828.473,353953.383,354078.939,354329.777,353341.140,353800.605,459.5,None,0,2026-07-10T15:12:35.6469113+02:00
franc,1,1,62,VT,1,slow,narrow,D2,357642.959,357642.959,359341.749,359689.459,360065.686,360845.524,360065.686,360357.807,292.1,None,0,2026-07-10T15:12:40.3669559+02:00
franc,1,1,63,VT,1,slow,wide,D7,362362.144,362362.144,364061.302,364409.070,364785.288,365564.442,362571.611,362947.461,375.8,None,0,2026-07-10T15:12:45.0855445+02:00
franc,1,1,64,VT,1,slow,wide,D7,367081.950,367081.950,368780.504,369128.601,369504.619,370270.179,367290.864,371858.076,4567.2,None,0,2026-07-10T15:12:51.3664687+02:00
franc,1,1,65,VT,1,slow,narrow,D6,373361.326,373361.326,375059.901,375407.502,375783.904,376549.249,374335.866,374697.412,361.5,None,0,2026-07-10T15:12:56.0845755+02:00
franc,1,1,66,VT,1,slow,wide,D3,378080.769,378080.769,379779.456,380127.224,380503.293,381269.125,380127.224,380433.428,306.2,None,0,2026-07-10T15:13:00.8038387+02:00
franc,1,1,67,VT,1,slow,wide,D6,382800.572,382800.572,384498.754,384846.680,385222.636,385988.831,383774.769,384067.037,292.3,None,0,2026-07-10T15:13:05.5237396+02:00
franc,1,1,68,VT,1,slow,wide,D2,387520.039,387520.039,389219.268,389566.269,389942.352,390708.386,389942.352,390234.859,292.5,None,0,2026-07-10T15:13:10.2427011+02:00
franc,1,1,69,VT,1,fast,narrow,D2,392239.617,392239.617,392935.806,393060.963,393186.354,393436.837,393186.354,393451.066,264.7,None,0,2026-07-10T15:13:14.7537725+02:00
franc,1,1,70,VT,1,fast,wide,D2,396750.385,396750.385,397446.361,397558.386,397697.236,397948.062,397697.236,397975.911,278.7,None,0,2026-07-10T15:13:19.2650908+02:00
franc,1,1,71,T,1,slow,wide,D7,401261.098,,,,,,401261.098,406008.808,4747.7,None,0,2026-07-10T15:13:25.5183098+02:00
franc,1,1,72,T,1,slow,wide,D4,407512.241,,,,,,409015.465,409558.722,543.3,None,0,2026-07-10T15:13:30.0262741+02:00
franc,1,1,73,VT,1,fast,narrow,D5,412022.719,412022.719,412718.843,412843.862,412969.739,413220.434,412607.318,412955.780,348.5,None,0,2026-07-10T15:13:34.5379762+02:00
franc,1,1,74,VT,1,slow,narrow,D4,416533.616,416533.616,418232.846,418580.626,418956.438,419722.113,418232.846,418594.526,361.7,None,0,2026-07-10T15:13:39.2576160+02:00
franc,1,1,75,T,1,fast,wide,D7,421253.905,,,,,,421253.905,425876.157,4622.3,None,0,2026-07-10T15:13:45.3848224+02:00
franc,1,1,76,V,0,fast,narrow,,427379.344,427379.344,428075.797,428200.775,428326.127,428576.565,,,,None,0,2026-07-10T15:13:49.8940524+02:00
franc,1,1,77,V,0,slow,wide,,431890.753,431890.753,433589.262,433937.451,434313.233,435092.519,,,,None,0,2026-07-10T15:13:54.6135364+02:00
franc,1,1,78,VT,1,slow,narrow,D1,436609.847,436609.847,438308.177,438656.215,439031.764,439797.593,439797.593,440063.502,265.9,None,0,2026-07-10T15:13:59.5718742+02:00
franc,1,1,79,T,1,slow,narrow,D2,441551.854,,,,,,443779.118,444141.163,362.0,None,0,2026-07-10T15:14:04.0658575+02:00
franc,1,1,80,V,0,fast,wide,,446062.678,446062.678,446759.035,446884.391,447010.341,447260.219,,,,None,0,2026-07-10T15:14:08.5768303+02:00
franc,1,1,81,V,0,slow,narrow,,450573.613,450573.613,452271.949,452620.179,452995.873,453761.730,,,,None,0,2026-07-10T15:14:13.2963542+02:00
franc,1,1,82,VT,1,slow,wide,D2,455292.748,455292.748,456991.600,457339.739,457715.727,458481.511,457715.727,455523.336,-2192.4,None,0,2026-07-10T15:14:18.0164003+02:00
franc,1,1,83,V,0,fast,narrow,,460012.744,460012.744,460709.380,460834.227,460959.502,461210.148,,,,None,0,2026-07-10T15:14:22.5274866+02:00
franc,1,1,84,VT,1,fast,narrow,D7,464523.156,464523.156,465219.714,465344.470,465469.909,465720.243,464731.794,465010.505,278.7,None,0,2026-07-10T15:14:27.0372829+02:00
franc,1,1,85,V,0,fast,wide,,469034.093,469034.093,469729.872,469854.912,469980.379,470231.241,,,,None,0,2026-07-10T15:14:31.5485293+02:00
franc,1,1,86,T,1,slow,narrow,D3,473544.391,,,,,,475396.083,475674.411,278.3,None,0,2026-07-10T15:14:36.0728180+02:00
franc,1,1,87,VT,1,slow,wide,D3,478069.131,478069.131,479767.514,480115.505,480491.581,481256.959,480115.505,480505.409,389.9,None,0,2026-07-10T15:14:40.7929782+02:00
franc,1,1,88,VT,1,fast,narrow,D6,482788.989,482788.989,483484.880,483610.044,483735.556,483985.888,483248.279,483623.855,375.6,None,0,2026-07-10T15:14:45.3033204+02:00
franc,1,1,89,VT,1,slow,wide,D4,487299.402,487299.402,488997.906,489346.052,489721.525,490501.487,488997.906,489275.980,278.1,None,0,2026-07-10T15:14:50.0226330+02:00
franc,1,1,90,V,0,slow,narrow,,492018.958,492018.958,493717.652,494065.409,494441.045,495206.866,,,,None,0,2026-07-10T15:14:54.7426780+02:00
franc,1,1,91,V,0,slow,narrow,,496738.338,496738.338,498436.843,498785.670,499161.071,499926.963,,,,None,0,2026-07-10T15:14:59.4617603+02:00
