subject_id,session_number,block_number,trial_number,trial_type,correct_response,previous_speed,current_speed,speed_sequence,transition_status,trajectory_offset_cm,trial_trigger_code,response_trigger_code,trigger_timestamp,participant_response,reaction_time_ms,accuracy,trial_interrupted,timestamp
theo,1,1,39,near_miss,MISS,fast,slow,fast-slow,transition,-58.93,0,0,0.0000,MISS,1559.02,1,0,2026-07-09T16:23:48.8216284+02:00
theo,1,1,40,clear_hit,HIT,slow,slow,slow-slow,repetition,4.14,0,0,0.0000,HIT,1545.86,1,0,2026-07-09T16:24:01.8684235+02:00
theo,1,1,41,near_hit,MISS,slow,slow,slow-slow,repetition,34.14,0,0,0.0000,HIT,2658.52,0,0,2026-07-09T16:24:16.1937933+02:00
theo,1,1,42,near_hit,MISS,slow,fast,slow-fast,transition,38.65,0,0,0.0000,MISS,974.01,1,0,2026-07-09T16:24:27.6924741+02:00
theo,1,1,43,clear_hit,HIT,fast,fast,fast-fast,repetition,0.00,0,0,0.0000,HIT,932.52,1,0,2026-07-09T16:24:33.6516241+02:00
theo,1,1,44,clear_miss,MISS,fast,fast,fast-fast,repetition,67.75,0,0,0.0000,MISS,890.94,1,0,2026-07-09T16:24:39.2482670+02:00
theo,1,1,45,near_miss,MISS,fast,fast,fast-fast,repetition,55.75,0,0,0.0000,MISS,641.45,1,0,2026-07-09T16:24:44.7063558+02:00
theo,1,1,46,clear_hit,HIT,fast,fast,fast-fast,repetition,3.63,0,0,0.0000,HIT,1030.80,1,0,2026-07-09T16:24:50.7766856+02:00
theo,1,1,47,near_hit,MISS,fast,slow,fast-slow,transition,40.51,0,0,0.0000,MISS,1462.29,1,0,2026-07-09T16:24:57.4588009+02:00
theo,1,1,48,clear_miss,MISS,slow,slow,slow-slow,repetition,-86.43,0,0,0.0000,MISS,1350.57,1,0,2026-07-09T16:25:11.2836718+02:00
theo,1,1,49,near_miss,MISS,slow,slow,slow-slow,repetition,-48.93,0,0,0.0000,MISS,834.67,1,0,2026-07-09T16:25:24.3714199+02:00
theo,1,1,50,near_miss,MISS,slow,fast,slow-fast,transition,-46.49,0,0,0.0000,MISS,584.69,1,0,2026-07-09T16:25:37.4026320+02:00
theo,1,1,51,clear_hit,HIT,fast,fast,fast-fast,repetition,-7.44,0,0,0.0000,HIT,597.92,1,0,2026-07-09T16:25:42.7762360+02:00
theo,1,1,52,near_hit,MISS,fast,fast,fast-fast,repetition,38.84,0,0,0.0000,MISS,863.66,1,0,2026-07-09T16:25:48.5122805+02:00
theo,1,1,53,near_hit,MISS,fast,slow,fast-slow,transition,-32.60,0,0,0.0000,MISS,878.07,1,0,2026-07-09T16:25:54.4533504+02:00
theo,1,1,54,near_hit,MISS,slow,slow,slow-slow,repetition,36.50,0,0,0.0000,HIT,1183.34,0,0,2026-07-09T16:26:08.3919676+02:00
theo,1,1,55,clear_hit,HIT,slow,slow,slow-slow,repetition,1.73,0,0,0.0000,HIT,1267.22,1,0,2026-07-09T16:26:22.2722829+02:00
theo,1,1,56,clear_miss,MISS,slow,slow,slow-slow,repetition,71.28,0,0,0.0000,MISS,919.39,1,0,2026-07-09T16:26:35.7355946+02:00
theo,1,1,57,near_hit,MISS,slow,fast,slow-fast,transition,-34.87,0,0,0.0000,MISS,779.55,1,0,2026-07-09T16:26:49.3513925+02:00
theo,1,1,58,clear_miss,MISS,fast,fast,fast-fast,repetition,59.76,0,0,0.0000,MISS,710.15,1,0,2026-07-09T16:26:54.8790063+02:00
theo,1,1,59,near_miss,MISS,fast,fast,fast-fast,repetition,-59.61,0,0,0.0000,MISS,626.44,1,0,2026-07-09T16:27:00.2796932+02:00
theo,1,1,60,near_hit,MISS,fast,fast,fast-fast,repetition,37.50,0,0,0.0000,MISS,571.01,1,0,2026-07-09T16:27:06.0168186+02:00
theo,1,1,61,near_miss,MISS,fast,fast,fast-fast,repetition,-49.01,0,0,0.0000,MISS,724.27,1,0,2026-07-09T16:27:11.6964947+02:00
theo,1,1,62,near_miss,MISS,fast,slow,fast-slow,transition,54.84,0,0,0.0000,MISS,932.27,1,0,2026-07-09T16:27:17.2783255+02:00
theo,1,1,63,clear_miss,MISS,slow,slow,slow-slow,repetition,-70.62,0,0,0.0000,MISS,1308.50,1,0,2026-07-09T16:27:31.1171861+02:00
theo,1,1,64,near_hit,MISS,slow,slow,slow-slow,repetition,38.82,0,0,0.0000,HIT,737.08,0,0,2026-07-09T16:27:44.4983442+02:00
theo,1,1,65,near_miss,MISS,slow,slow,slow-slow,repetition,-52.95,0,0,0.0000,MISS,1419.46,1,0,2026-07-09T16:27:58.2100779+02:00
theo,1,1,66,clear_miss,MISS,slow,slow,slow-slow,repetition,-60.61,0,0,0.0000,MISS,1392.11,1,0,2026-07-09T16:28:11.7277806+02:00
theo,1,1,67,near_miss,MISS,slow,slow,slow-slow,repetition,55.14,0,0,0.0000,MISS,2381.00,1,0,2026-07-09T16:28:25.9421723+02:00
theo,1,1,68,near_hit,MISS,slow,fast,slow-fast,transition,-41.51,0,0,0.0000,MISS,780.13,1,0,2026-07-09T16:28:37.6932444+02:00
theo,1,1,69,near_hit,MISS,fast,fast,fast-fast,repetition,32.52,0,0,0.0000,MISS,655.91,1,0,2026-07-09T16:28:43.8071946+02:00
theo,1,1,70,clear_hit,HIT,fast,fast,fast-fast,repetition,9.45,0,0,0.0000,HIT,682.52,1,0,2026-07-09T16:28:49.5545408+02:00
theo,1,1,71,clear_miss,MISS,fast,fast,fast-fast,repetition,-69.57,0,0,0.0000,MISS,529.91,1,0,2026-07-09T16:28:55.2344158+02:00
