subject_id,session_number,block_number,trial_number,trial_type,correct_response,previous_speed,current_speed,speed_sequence,transition_status,trajectory_offset_cm,trial_trigger_code,response_trigger_code,trigger_timestamp,participant_response,reaction_time_ms,accuracy,trial_interrupted,timestamp
pam,1,1,39,near_miss,MISS,slow,slow,slow-slow,repetition,-54.22,0,0,0.0000,MISS,682.39,1,0,2026-07-14T15:59:54.1538284+02:00
pam,1,1,40,near_hit,MISS,slow,fast,slow-fast,transition,-43.89,0,0,0.0000,MISS,542.66,1,0,2026-07-14T16:00:00.5996661+02:00
pam,1,1,41,near_miss,MISS,fast,fast,fast-fast,repetition,49.72,0,0,0.0000,MISS,627.22,1,0,2026-07-14T16:00:05.1522876+02:00
pam,1,1,42,clear_miss,MISS,fast,fast,fast-fast,repetition,-61.74,0,0,0.0000,MISS,626.58,1,0,2026-07-14T16:00:09.7881239+02:00
pam,1,1,43,near_hit,MISS,fast,fast,fast-fast,repetition,34.62,0,0,0.0000,MISS,640.22,1,0,2026-07-14T16:00:14.6746084+02:00
pam,1,1,44,clear_hit,HIT,fast,slow,fast-slow,transition,16.81,0,0,0.0000,HIT,932.67,1,0,2026-07-14T16:00:20.1882424+02:00
pam,1,1,45,near_hit,MISS,slow,slow,slow-slow,repetition,35.87,0,0,0.0000,MISS,849.85,1,0,2026-07-14T16:00:27.1072085+02:00
pam,1,1,46,clear_hit,HIT,slow,slow,slow-slow,repetition,28.17,0,0,0.0000,MISS,1364.82,0,0,2026-07-14T16:00:33.9713622+02:00
pam,1,1,47,near_hit,MISS,slow,fast,slow-fast,transition,-31.49,0,0,0.0000,MISS,696.51,1,0,2026-07-14T16:00:40.5701339+02:00
pam,1,1,48,near_miss,MISS,fast,fast,fast-fast,repetition,46.60,0,0,0.0000,MISS,765.55,1,0,2026-07-14T16:00:45.7900708+02:00
pam,1,1,49,clear_hit,HIT,fast,fast,fast-fast,repetition,-16.63,0,0,0.0000,MISS,891.11,0,0,2026-07-14T16:00:50.9406291+02:00
pam,1,1,50,clear_miss,MISS,fast,fast,fast-fast,repetition,68.98,0,0,0.0000,MISS,640.49,1,0,2026-07-14T16:00:55.2296036+02:00
pam,1,1,51,near_hit,MISS,fast,slow,fast-slow,transition,-43.30,0,0,0.0000,MISS,1266.62,1,0,2026-07-14T16:01:00.9369733+02:00
pam,1,1,52,near_miss,MISS,slow,slow,slow-slow,repetition,54.34,0,0,0.0000,MISS,612.56,1,0,2026-07-14T16:01:06.6314833+02:00
pam,1,1,53,near_hit,MISS,slow,slow,slow-slow,repetition,-43.47,0,0,0.0000,MISS,765.92,1,0,2026-07-14T16:01:13.1940785+02:00
pam,1,1,54,clear_hit,HIT,slow,slow,slow-slow,repetition,-21.05,0,0,0.0000,MISS,1156.02,0,0,2026-07-14T16:01:19.9973917+02:00
pam,1,1,55,near_hit,MISS,slow,fast,slow-fast,transition,33.87,0,0,0.0000,MISS,612.71,1,0,2026-07-14T16:01:25.9840399+02:00
pam,1,1,56,near_miss,MISS,fast,fast,fast-fast,repetition,56.89,0,0,0.0000,MISS,598.61,1,0,2026-07-14T16:01:31.1207856+02:00
pam,1,1,57,near_hit,MISS,fast,fast,fast-fast,repetition,-35.00,0,0,0.0000,MISS,667.79,1,0,2026-07-14T16:01:35.9793912+02:00
pam,1,1,58,clear_miss,MISS,fast,fast,fast-fast,repetition,-65.81,0,0,0.0000,MISS,543.07,1,0,2026-07-14T16:01:41.0052574+02:00
pam,1,1,59,clear_hit,HIT,fast,fast,fast-fast,repetition,-17.18,0,0,0.0000,HIT,668.41,1,0,2026-07-14T16:01:45.9197292+02:00
pam,1,1,60,clear_miss,MISS,fast,fast,fast-fast,repetition,-84.34,0,0,0.0000,MISS,570.88,1,0,2026-07-14T16:01:50.7361359+02:00
pam,1,1,61,near_hit,MISS,fast,slow,fast-slow,transition,-33.37,0,0,0.0000,MISS,751.82,1,0,2026-07-14T16:01:56.1248576+02:00
pam,1,1,62,clear_miss,MISS,slow,slow,slow-slow,repetition,-67.51,0,0,0.0000,MISS,877.45,1,0,2026-07-14T16:02:02.7275371+02:00
pam,1,1,63,near_miss,MISS,slow,slow,slow-slow,repetition,54.50,0,0,0.0000,MISS,737.76,1,0,2026-07-14T16:02:09.2523611+02:00
pam,1,1,64,near_hit,MISS,slow,fast,slow-fast,transition,37.52,0,0,0.0000,MISS,640.73,1,0,2026-07-14T16:02:15.6055035+02:00
pam,1,1,65,clear_miss,MISS,fast,fast,fast-fast,repetition,87.69,0,0,0.0000,MISS,570.71,1,0,2026-07-14T16:02:20.0982504+02:00
pam,1,1,66,near_miss,MISS,fast,fast,fast-fast,repetition,48.20,0,0,0.0000,MISS,626.78,1,0,2026-07-14T16:02:25.4866309+02:00
pam,1,1,67,near_hit,MISS,fast,fast,fast-fast,repetition,-38.48,0,0,0.0000,MISS,571.19,1,0,2026-07-14T16:02:30.1688801+02:00
pam,1,1,68,clear_hit,HIT,fast,fast,fast-fast,repetition,17.51,0,0,0.0000,HIT,598.51,1,0,2026-07-14T16:02:34.8558228+02:00
pam,1,1,69,near_hit,MISS,fast,fast,fast-fast,repetition,36.82,0,0,0.0000,HIT,641.01,0,0,2026-07-14T16:02:39.4223119+02:00
pam,1,1,70,clear_miss,MISS,fast,slow,fast-slow,transition,-77.09,0,0,0.0000,MISS,737.85,1,0,2026-07-14T16:02:44.1135265+02:00
pam,1,1,71,near_hit,MISS,slow,slow,slow-slow,repetition,33.78,0,0,0.0000,MISS,1239.33,1,0,2026-07-14T16:02:51.0889868+02:00
pam,1,1,72,near_miss,MISS,slow,slow,slow-slow,repetition,-55.60,0,0,0.0000,MISS,1169.64,1,0,2026-07-14T16:02:57.3816637+02:00
pam,1,1,73,clear_hit,HIT,slow,slow,slow-slow,repetition,19.62,0,0,0.0000,HIT,1127.91,1,0,2026-07-14T16:03:04.2456171+02:00
pam,1,1,74,near_miss,MISS,slow,fast,slow-fast,transition,51.62,0,0,0.0000,MISS,640.94,1,0,2026-07-14T16:03:10.7472777+02:00
pam,1,1,75,clear_miss,MISS,fast,fast,fast-fast,repetition,-88.44,0,0,0.0000,MISS,516.36,1,0,2026-07-14T16:03:15.1614984+02:00
pam,1,1,76,clear_hit,HIT,fast,fast,fast-fast,repetition,-17.03,0,0,0.0000,HIT,640.59,1,0,2026-07-14T16:03:19.8658003+02:00
pam,1,1,77,near_miss,MISS,fast,slow,fast-slow,transition,-50.60,0,0,0.0000,MISS,640.80,1,0,2026-07-14T16:03:25.0313633+02:00
pam,1,1,78,clear_hit,HIT,slow,slow,slow-slow,repetition,17.28,0,0,0.0000,HIT,835.65,1,0,2026-07-14T16:03:31.6570222+02:00
pam,1,1,79,near_miss,MISS,slow,slow,slow-slow,repetition,-48.16,0,0,0.0000,MISS,1071.88,1,0,2026-07-14T16:03:38.9524842+02:00
pam,1,1,80,clear_hit,HIT,slow,slow,slow-slow,repetition,-16.00,0,0,0.0000,HIT,1712.39,1,0,2026-07-14T16:03:45.9684553+02:00
pam,1,1,81,near_miss,MISS,slow,fast,slow-fast,transition,51.05,0,0,0.0000,MISS,724.51,1,0,2026-07-14T16:03:51.6629040+02:00
pam,1,1,82,near_hit,MISS,fast,fast,fast-fast,repetition,-38.98,0,0,0.0000,MISS,682.31,1,0,2026-07-14T16:03:56.4799698+02:00
pam,1,1,83,clear_miss,MISS,fast,fast,fast-fast,repetition,-70.54,0,0,0.0000,MISS,598.30,1,0,2026-07-14T16:04:01.5892176+02:00
pam,1,1,84,near_miss,MISS,fast,slow,fast-slow,transition,52.72,0,0,0.0000,MISS,752.28,1,0,2026-07-14T16:04:07.1593314+02:00
pam,1,1,85,near_hit,MISS,slow,slow,slow-slow,repetition,-34.91,0,0,0.0000,MISS,1684.07,1,0,2026-07-14T16:04:14.7493826+02:00
pam,1,1,86,near_miss,MISS,slow,slow,slow-slow,repetition,-56.65,0,0,0.0000,MISS,793.23,1,0,2026-07-14T16:04:20.9132478+02:00
pam,1,1,87,clear_hit,HIT,slow,slow,slow-slow,repetition,20.39,0,0,0.0000,HIT,1838.08,1,0,2026-07-14T16:04:28.3369514+02:00
pam,1,1,88,near_hit,MISS,slow,slow,slow-slow,repetition,-39.54,0,0,0.0000,MISS,751.97,1,0,2026-07-14T16:04:33.6222639+02:00
pam,1,1,89,clear_miss,MISS,slow,slow,slow-slow,repetition,-86.54,0,0,0.0000,MISS,3383.13,1,0,2026-07-14T16:04:43.0070738+02:00
pam,1,1,90,near_hit,MISS,slow,slow,slow-slow,repetition,36.54,0,0,0.0000,MISS,932.60,1,0,2026-07-14T16:04:46.9603589+02:00
pam,1,1,91,near_miss,MISS,slow,slow,slow-slow,repetition,-57.62,0,0,0.0000,MISS,236.28,1,0,2026-07-14T16:04:53.4194005+02:00
pam,1,1,92,clear_miss,MISS,slow,fast,slow-fast,transition,-64.08,0,0,0.0000,HIT,8868.55,0,0,2026-07-14T16:05:08.9297586+02:00
pam,1,1,93,near_hit,MISS,fast,fast,fast-fast,repetition,-38.27,0,0,0.0000,MISS,70.07,1,0,2026-07-14T16:05:08.9999266+02:00
pam,1,1,94,clear_miss,MISS,fast,fast,fast-fast,repetition,75.17,0,0,0.0000,MISS,584.35,1,0,2026-07-14T16:05:14.8189231+02:00
pam,1,1,95,near_miss,MISS,fast,fast,fast-fast,repetition,-45.30,0,0,0.0000,MISS,570.57,1,0,2026-07-14T16:05:19.8856069+02:00
pam,1,1,96,clear_miss,MISS,fast,slow,fast-slow,transition,73.79,0,0,0.0000,MISS,695.92,1,0,2026-07-14T16:05:25.2877473+02:00
pam,1,1,97,near_hit,MISS,slow,slow,slow-slow,repetition,-38.20,0,0,0.0000,MISS,640.24,1,0,2026-07-14T16:05:31.9706458+02:00
pam,1,1,98,clear_miss,MISS,slow,slow,slow-slow,repetition,-63.45,0,0,0.0000,MISS,681.92,1,0,2026-07-14T16:05:39.0425279+02:00
pam,1,1,99,near_hit,MISS,slow,slow,slow-slow,repetition,37.78,0,0,0.0000,MISS,626.33,1,0,2026-07-14T16:05:46.3103097+02:00
pam,1,1,100,near_miss,MISS,slow,slow,slow-slow,repetition,-52.87,0,0,0.0000,MISS,932.77,1,0,2026-07-14T16:05:53.6477738+02:00
pam,1,1,101,near_hit,MISS,slow,slow,slow-slow,repetition,34.66,0,0,0.0000,MISS,724.13,1,0,2026-07-14T16:06:00.4693123+02:00
pam,1,1,102,clear_miss,MISS,slow,slow,slow-slow,repetition,-68.12,0,0,0.0000,MISS,668.48,1,0,2026-07-14T16:06:06.8605140+02:00
pam,1,1,103,near_hit,MISS,slow,fast,slow-fast,transition,-41.63,0,0,0.0000,MISS,639.86,1,0,2026-07-14T16:06:13.4877440+02:00
pam,1,1,104,near_miss,MISS,fast,fast,fast-fast,repetition,-50.39,0,0,0.0000,MISS,570.88,1,0,2026-07-14T16:06:18.1649857+02:00
pam,1,1,105,clear_miss,MISS,fast,fast,fast-fast,repetition,84.97,0,0,0.0000,MISS,654.48,1,0,2026-07-14T16:06:23.1905396+02:00
pam,1,1,106,clear_hit,HIT,fast,fast,fast-fast,repetition,25.44,0,0,0.0000,MISS,1071.77,0,0,2026-07-14T16:06:28.5363196+02:00
pam,1,1,107,near_hit,MISS,fast,fast,fast-fast,repetition,-34.55,0,0,0.0000,MISS,529.32,1,0,2026-07-14T16:06:33.2837428+02:00
pam,1,1,108,clear_miss,MISS,fast,slow,fast-slow,transition,-70.85,0,0,0.0000,MISS,821.25,1,0,2026-07-14T16:06:38.2260164+02:00
pam,1,1,109,clear_hit,HIT,slow,slow,slow-slow,repetition,19.75,0,0,0.0000,HIT,904.83,1,0,2026-07-14T16:06:45.4648833+02:00
pam,1,1,110,clear_miss,MISS,slow,slow,slow-slow,repetition,-68.66,0,0,0.0000,MISS,751.84,1,0,2026-07-14T16:06:52.1332180+02:00
pam,1,1,111,clear_hit,HIT,slow,slow,slow-slow,repetition,-21.29,0,0,0.0000,HIT,1837.96,1,0,2026-07-14T16:07:00.0692262+02:00
pam,1,1,112,clear_miss,MISS,slow,fast,slow-fast,transition,86.54,0,0,0.0000,MISS,612.30,1,0,2026-07-14T16:07:05.4987019+02:00
pam,1,1,113,near_hit,MISS,fast,fast,fast-fast,repetition,40.93,0,0,0.0000,MISS,542.98,1,0,2026-07-14T16:07:10.5668075+02:00
pam,1,1,114,clear_hit,HIT,fast,fast,fast-fast,repetition,-22.90,0,0,0.0000,MISS,514.75,0,0,2026-07-14T16:07:15.3416491+02:00
pam,1,1,115,near_miss,MISS,fast,slow,fast-slow,transition,-51.55,0,0,0.0000,MISS,765.99,1,0,2026-07-14T16:07:20.0750234+02:00
pam,1,1,116,near_hit,MISS,slow,slow,slow-slow,repetition,38.83,0,0,0.0000,MISS,1308.70,1,0,2026-07-14T16:07:27.2444384+02:00
pam,1,1,117,clear_hit,HIT,slow,slow,slow-slow,repetition,15.86,0,0,0.0000,HIT,1058.23,1,0,2026-07-14T16:07:33.8722986+02:00
pam,1,1,118,near_hit,MISS,slow,fast,slow-fast,transition,-41.16,0,0,0.0000,MISS,640.45,1,0,2026-07-14T16:07:40.1928546+02:00
pam,1,1,119,clear_hit,HIT,fast,fast,fast-fast,repetition,19.34,0,0,0.0000,MISS,654.97,0,0,2026-07-14T16:07:45.4176113+02:00
pam,1,1,120,near_hit,MISS,fast,fast,fast-fast,repetition,-35.42,0,0,0.0000,MISS,528.78,1,0,2026-07-14T16:07:49.6595929+02:00
pam,1,1,121,clear_hit,HIT,fast,slow,fast-slow,transition,-21.54,0,0,0.0000,HIT,835.14,1,0,2026-07-14T16:07:54.7821066+02:00
pam,1,1,122,near_hit,MISS,slow,slow,slow-slow,repetition,42.19,0,0,0.0000,MISS,849.18,1,0,2026-07-14T16:08:01.9103052+02:00
pam,1,1,123,clear_miss,MISS,slow,slow,slow-slow,repetition,-78.36,0,0,0.0000,MISS,765.09,1,0,2026-07-14T16:08:08.3428598+02:00
pam,1,1,124,near_miss,MISS,slow,fast,slow-fast,transition,45.47,0,0,0.0000,MISS,584.80,1,0,2026-07-14T16:08:15.0115340+02:00
pam,1,1,125,clear_hit,HIT,fast,fast,fast-fast,repetition,16.46,0,0,0.0000,HIT,654.18,1,0,2026-07-14T16:08:20.5101347+02:00
pam,1,1,126,near_miss,MISS,fast,fast,fast-fast,repetition,52.00,0,0,0.0000,HIT,710.38,0,0,2026-07-14T16:08:25.1326935+02:00
pam,1,1,127,clear_hit,HIT,fast,slow,fast-slow,transition,-29.62,0,0,0.0000,MISS,863.61,0,0,2026-07-14T16:08:30.2826952+02:00
pam,1,1,128,clear_miss,MISS,slow,slow,slow-slow,repetition,-79.92,0,0,0.0000,MISS,626.35,1,0,2026-07-14T16:08:36.4924017+02:00
pam,1,1,129,near_hit,MISS,slow,slow,slow-slow,repetition,42.77,0,0,0.0000,MISS,654.37,1,0,2026-07-14T16:08:43.7048860+02:00
pam,1,1,130,clear_hit,HIT,slow,fast,slow-fast,transition,21.09,0,0,0.0000,HIT,598.52,1,0,2026-07-14T16:08:50.7623066+02:00
pam,1,1,131,near_hit,MISS,fast,fast,fast-fast,repetition,-36.91,0,0,0.0000,MISS,529.11,1,0,2026-07-14T16:08:55.7187735+02:00
pam,1,1,132,clear_miss,MISS,fast,fast,fast-fast,repetition,67.17,0,0,0.0000,MISS,598.90,1,0,2026-07-14T16:09:00.7169194+02:00
pam,1,1,133,near_miss,MISS,fast,slow,fast-slow,transition,53.78,0,0,0.0000,MISS,598.48,1,0,2026-07-14T16:09:05.4506255+02:00
pam,1,1,134,clear_hit,HIT,slow,slow,slow-slow,repetition,-27.26,0,0,0.0000,MISS,1030.25,0,0,2026-07-14T16:09:12.7034347+02:00
pam,1,1,135,near_hit,MISS,slow,slow,slow-slow,repetition,35.72,0,0,0.0000,MISS,724.09,1,0,2026-07-14T16:09:19.1641244+02:00
pam,1,1,136,clear_hit,HIT,slow,slow,slow-slow,repetition,24.76,0,0,0.0000,HIT,1600.79,1,0,2026-07-14T16:09:26.4870703+02:00
pam,1,1,137,near_miss,MISS,slow,fast,slow-fast,transition,-49.63,0,0,0.0000,MISS,807.67,1,0,2026-07-14T16:09:32.6684132+02:00
pam,1,1,138,clear_miss,MISS,fast,fast,fast-fast,repetition,-80.52,0,0,0.0000,MISS,626.91,1,0,2026-07-14T16:09:37.5690410+02:00
pam,1,1,139,clear_hit,HIT,fast,fast,fast-fast,repetition,16.03,0,0,0.0000,HIT,682.13,1,0,2026-07-14T16:09:42.9985727+02:00
pam,1,1,140,near_miss,MISS,fast,fast,fast-fast,repetition,58.79,0,0,0.0000,MISS,682.02,1,0,2026-07-14T16:09:47.8982195+02:00
pam,1,1,141,clear_miss,MISS,fast,slow,fast-slow,transition,88.84,0,0,0.0000,MISS,751.80,1,0,2026-07-14T16:09:52.5490240+02:00
pam,1,1,142,near_hit,MISS,slow,slow,slow-slow,repetition,-31.57,0,0,0.0000,MISS,932.89,1,0,2026-07-14T16:09:59.9132170+02:00
pam,1,1,143,clear_hit,HIT,slow,slow,slow-slow,repetition,21.06,0,0,0.0000,HIT,807.86,1,0,2026-07-14T16:10:06.9866047+02:00
pam,1,1,144,near_miss,MISS,slow,slow,slow-slow,repetition,57.27,0,0,0.0000,MISS,821.54,1,0,2026-07-14T16:10:13.9479978+02:00
pam,1,1,145,clear_miss,MISS,slow,slow,slow-slow,repetition,84.40,0,0,0.0000,MISS,529.06,1,0,2026-07-14T16:10:20.6158901+02:00
pam,1,1,146,clear_hit,HIT,slow,fast,slow-fast,transition,27.05,0,0,0.0000,HIT,611.98,1,0,2026-07-14T16:10:27.5345409+02:00
pam,1,1,147,clear_miss,MISS,fast,fast,fast-fast,repetition,-62.88,0,0,0.0000,MISS,473.59,1,0,2026-07-14T16:10:32.5884181+02:00
pam,1,1,148,clear_hit,HIT,fast,fast,fast-fast,repetition,25.77,0,0,0.0000,MISS,571.19,0,0,2026-07-14T16:10:37.3508508+02:00
pam,1,1,149,clear_miss,MISS,fast,fast,fast-fast,repetition,-89.73,0,0,0.0000,MISS,654.16,1,0,2026-07-14T16:10:42.5562611+02:00
pam,1,1,150,near_miss,MISS,fast,fast,fast-fast,repetition,48.52,0,0,0.0000,MISS,542.61,1,0,2026-07-14T16:10:47.8744409+02:00
pam,1,1,151,clear_hit,HIT,fast,slow,fast-slow,transition,-23.70,0,0,0.0000,HIT,1002.71,1,0,2026-07-14T16:10:53.4710956+02:00
pam,1,1,152,near_miss,MISS,slow,slow,slow-slow,repetition,-49.01,0,0,0.0000,MISS,975.23,1,0,2026-07-14T16:11:00.6145746+02:00
pam,1,1,153,clear_hit,HIT,slow,slow,slow-slow,repetition,-17.71,0,0,0.0000,HIT,654.22,1,0,2026-07-14T16:11:06.9361346+02:00
pam,1,1,154,clear_miss,MISS,slow,fast,slow-fast,transition,-85.61,0,0,0.0000,MISS,459.53,1,0,2026-07-14T16:11:13.6448467+02:00
pam,1,1,155,near_miss,MISS,fast,fast,fast-fast,repetition,58.56,0,0,0.0000,MISS,571.20,1,0,2026-07-14T16:11:18.7689706+02:00
pam,1,1,156,clear_hit,HIT,fast,fast,fast-fast,repetition,25.74,0,0,0.0000,MISS,514.80,0,0,2026-07-14T16:11:23.4734852+02:00
pam,1,1,157,near_miss,MISS,fast,slow,fast-slow,transition,54.98,0,0,0.0000,HIT,946.69,0,0,2026-07-14T16:11:28.8052724+02:00
pam,1,1,158,clear_hit,HIT,slow,slow,slow-slow,repetition,28.50,0,0,0.0000,HIT,1169.28,1,0,2026-07-14T16:11:35.6827983+02:00
pam,1,1,159,near_miss,MISS,slow,slow,slow-slow,repetition,-49.47,0,0,0.0000,MISS,835.19,1,0,2026-07-14T16:11:42.3925660+02:00
pam,1,1,160,clear_hit,HIT,slow,fast,slow-fast,transition,25.61,0,0,0.0000,HIT,556.84,1,0,2026-07-14T16:11:48.8251549+02:00
pam,1,1,161,clear_miss,MISS,fast,fast,fast-fast,repetition,78.11,0,0,0.0000,MISS,487.15,1,0,2026-07-14T16:11:53.7533886+02:00
pam,1,1,162,clear_hit,HIT,fast,fast,fast-fast,repetition,21.98,0,0,0.0000,HIT,542.21,1,0,2026-07-14T16:11:58.6679427+02:00
pam,1,1,163,near_miss,MISS,fast,fast,fast-fast,repetition,-55.75,0,0,0.0000,MISS,501.11,1,0,2026-07-14T16:12:04.0000973+02:00
pam,1,1,164,clear_hit,HIT,fast,slow,fast-slow,transition,23.47,0,0,0.0000,HIT,1392.00,1,0,2026-07-14T16:12:09.8472564+02:00
pam,1,1,165,clear_miss,MISS,slow,slow,slow-slow,repetition,-71.54,0,0,0.0000,MISS,724.26,1,0,2026-07-14T16:12:16.4747989+02:00
pam,1,1,166,clear_hit,HIT,slow,slow,slow-slow,repetition,-20.96,0,0,0.0000,HIT,863.65,1,0,2026-07-14T16:12:23.5054921+02:00
pam,1,1,167,near_miss,MISS,slow,slow,slow-slow,repetition,-48.87,0,0,0.0000,MISS,821.54,1,0,2026-07-14T16:12:29.9919147+02:00
pam,1,1,168,clear_miss,MISS,slow,slow,slow-slow,repetition,-79.60,0,0,0.0000,MISS,612.64,1,0,2026-07-14T16:12:36.6191719+02:00
pam,1,1,169,clear_hit,HIT,slow,fast,slow-fast,transition,21.05,0,0,0.0000,HIT,640.08,1,0,2026-07-14T16:12:43.1915883+02:00
