subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,trial_start_ms,stimulus_onset_ms,position_D7_ms,position_D6_ms,position_D5_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,vibration_device,trial_interrupted,timestamp
theo,1,1,32,T,1,slow,narrow,D5,160581.338,,,,,,,,,161555.382,162001.146,445.8,None,0,2026-07-09T15:20:13.2602573+02:00
theo,1,1,33,VT,1,slow,narrow,D1,164312.703,164312.703,164312.703,164953.244,165273.517,165552.362,165844.695,166151.225,166805.449,166805.449,167125.985,320.5,None,0,2026-07-09T15:20:17.2859900+02:00
theo,1,1,34,T,1,fast,narrow,D3,168337.010,,,,,,,,,168963.182,169255.927,292.7,None,0,2026-07-09T15:20:21.0024354+02:00
theo,1,1,35,T,1,fast,narrow,D6,172053.897,,,,,,,,,172318.121,173404.386,1086.3,None,0,2026-07-09T15:20:24.7188479+02:00
theo,1,1,36,V,0,fast,narrow,,175770.832,175770.832,175770.832,176020.986,176146.179,176257.866,176383.082,176508.451,176758.666,,,,None,0,2026-07-09T15:20:28.4352527+02:00
theo,1,1,37,V,0,fast,narrow,,179487.638,179487.638,179487.638,179738.243,179863.308,179974.963,180100.109,180225.478,180476.021,,,,None,0,2026-07-09T15:20:32.1527824+02:00
theo,1,1,38,T,1,fast,narrow,D4,183203.368,,,,,,,,,183705.190,184150.831,445.6,None,0,2026-07-09T15:20:35.8692401+02:00
theo,1,1,39,T,1,slow,narrow,D4,186922.127,,,,,,,,,188174.758,188481.002,306.2,None,0,2026-07-09T15:20:39.5867079+02:00
theo,1,1,40,VT,1,slow,narrow,D5,190638.785,190638.785,190638.785,191279.140,191599.691,191876.992,192169.328,192490.031,193130.255,191599.691,191919.110,319.4,None,0,2026-07-09T15:20:43.3033637+02:00
theo,1,1,41,VT,1,slow,narrow,D6,194355.505,194355.505,194355.505,194996.088,195316.482,195594.867,195887.163,196193.863,196847.367,194996.088,195302.687,306.6,None,0,2026-07-09T15:20:47.0199013+02:00
theo,1,1,42,V,0,slow,narrow,,198072.997,198072.997,198072.997,198713.461,199034.005,199312.599,199604.971,199911.464,200565.819,,,,None,0,2026-07-09T15:20:50.7393757+02:00
theo,1,1,43,VT,1,slow,narrow,D7,201791.361,201791.361,201791.361,202431.509,202751.821,203030.379,203322.910,203643.380,204283.663,201791.361,202097.129,305.8,None,0,2026-07-09T15:20:54.4569125+02:00
theo,1,1,44,T,1,slow,narrow,D6,205509.029,,,,,,,,,206162.848,206427.483,264.6,None,0,2026-07-09T15:20:58.1877027+02:00
theo,1,1,45,VT,1,fast,narrow,D3,209238.981,209238.981,209238.981,209490.060,209615.107,209726.504,209852.012,209977.594,210227.753,209852.012,210144.178,292.2,None,0,2026-07-09T15:21:01.9042558+02:00
theo,1,1,46,T,1,fast,narrow,D2,212956.171,,,,,,,,,213707.823,213958.654,250.8,None,0,2026-07-09T15:21:05.6212408+02:00
theo,1,1,47,T,1,fast,narrow,D7,216673.368,,,,,,,,,216673.368,217271.886,598.5,None,0,2026-07-09T15:21:09.3381459+02:00
theo,1,1,48,VT,1,fast,narrow,D2,220390.140,220390.140,220390.140,220640.951,220766.319,220877.537,221003.373,221128.247,221506.080,221128.247,221506.080,377.8,None,0,2026-07-09T15:21:13.0566414+02:00
theo,1,1,49,VT,1,slow,narrow,D4,224107.146,224107.146,224107.146,224747.865,225067.815,225346.329,225638.961,225958.745,226599.256,225346.329,225666.379,320.1,None,0,2026-07-09T15:21:16.7733183+02:00
theo,1,1,50,T,1,slow,narrow,D2,227824.325,,,,,,,,,229689.863,230010.462,320.6,None,0,2026-07-09T15:21:20.5040324+02:00
theo,1,1,51,VT,1,slow,narrow,D3,231555.334,231555.334,231555.334,232195.905,232516.397,232794.689,233086.978,233407.303,234047.670,233086.978,233463.320,376.3,None,0,2026-07-09T15:21:24.2207514+02:00
theo,1,1,52,VT,1,slow,narrow,D4,235273.490,235273.490,235273.490,235913.801,236234.050,236513.102,236805.797,237111.828,237766.421,236513.102,236819.405,306.3,None,0,2026-07-09T15:21:27.9394917+02:00
theo,1,1,53,T,1,fast,narrow,D3,238991.378,,,,,,,,,239617.958,240063.271,445.3,None,0,2026-07-09T15:21:31.6568413+02:00
theo,1,1,54,VT,1,fast,narrow,D7,242708.070,242708.070,242708.070,242958.477,243083.819,243195.175,243320.529,243445.873,243696.677,242708.070,243348.470,640.4,None,0,2026-07-09T15:21:35.3739939+02:00
theo,1,1,55,V,0,fast,narrow,,246425.214,246425.214,246425.214,246675.978,246801.279,246912.457,247037.956,247162.909,247413.699,,,,None,0,2026-07-09T15:21:39.0904860+02:00
theo,1,1,56,T,1,slow,narrow,D3,250142.569,,,,,,,,,251687.859,251952.649,264.8,None,0,2026-07-09T15:21:42.8218053+02:00
theo,1,1,57,VT,1,slow,narrow,D2,253873.338,253873.338,253873.338,254513.886,254833.867,255112.355,255404.805,255725.215,256365.436,255725.215,256004.074,278.9,None,0,2026-07-09T15:21:46.5387220+02:00
theo,1,1,58,V,0,slow,narrow,,257590.585,257590.585,257590.585,258230.904,258551.005,258829.504,259122.004,259442.010,260082.076,,,,None,0,2026-07-09T15:21:50.2558524+02:00
theo,1,1,59,V,0,slow,narrow,,261307.414,261307.414,261307.414,261948.081,262268.328,262546.988,262839.226,263159.483,263799.870,,,,None,0,2026-07-09T15:21:53.9731644+02:00
theo,1,1,60,VT,1,fast,narrow,D3,265025.125,265025.125,265025.125,265275.462,265400.692,265512.400,265637.434,265762.514,266013.314,265637.434,265929.884,292.5,None,0,2026-07-09T15:21:57.6894866+02:00
theo,1,1,61,T,1,fast,narrow,D1,268741.480,,,,,,,,,269744.423,270050.418,306.0,None,0,2026-07-09T15:22:01.4073254+02:00
theo,1,1,62,VT,1,fast,narrow,D4,272458.319,272458.319,272458.319,272708.861,272834.441,272945.830,273071.050,273196.474,273447.131,272945.830,273293.528,347.7,None,0,2026-07-09T15:22:05.1248169+02:00
theo,1,1,63,VT,1,fast,narrow,D5,276176.783,276176.783,276176.783,276426.994,276552.254,276663.975,276789.546,276914.411,277165.138,276552.254,276845.055,292.8,None,0,2026-07-09T15:22:08.8422402+02:00
theo,1,1,64,T,1,slow,narrow,D3,279893.548,,,,,,,,,281439.063,281689.837,250.8,None,0,2026-07-09T15:22:12.5733123+02:00
theo,1,1,65,T,1,slow,narrow,D5,283625.212,,,,,,,,,284599.471,284920.280,320.8,None,0,2026-07-09T15:22:16.3044149+02:00
theo,1,1,66,T,1,slow,narrow,D3,287355.929,,,,,,,,,288901.550,289180.025,278.5,None,0,2026-07-09T15:22:20.0354367+02:00
theo,1,1,67,T,1,fast,narrow,D3,291087.403,,,,,,,,,291713.766,292020.082,306.3,None,0,2026-07-09T15:22:23.7529819+02:00
theo,1,1,68,T,1,fast,narrow,D5,294804.252,,,,,,,,,295194.377,295500.455,306.1,None,0,2026-07-09T15:22:27.4696551+02:00
theo,1,1,69,V,0,fast,narrow,,298521.062,298521.062,298521.062,298771.994,298896.950,299008.748,299133.736,299259.097,299509.130,,,,None,0,2026-07-09T15:22:31.1865245+02:00
theo,1,1,70,VT,1,fast,narrow,D5,302237.932,302237.932,302237.932,302488.583,302614.094,302725.271,302850.513,302975.827,303226.457,302614.094,302919.977,305.9,None,0,2026-07-09T15:22:34.9036592+02:00
theo,1,1,71,VT,1,fast,narrow,D5,305956.190,305956.190,305956.190,306206.520,306331.575,306443.237,306568.373,306693.799,306944.301,306331.575,306651.987,320.4,None,0,2026-07-09T15:22:38.6222876+02:00
